date,max_temp,min_temp,rainfall,humidity,drought_index
2026-05-22,30.2,21.9,1.1,75.29166666666667,1
2026-05-23,27.0,21.7,6.9,83.83333333333333,0
2026-05-24,29.9,21.3,3.9,76.625,0
2026-05-25,31.0,20.6,6.2,77.08333333333333,0
2026-05-26,30.9,21.4,6.7,77.75,0
2026-05-27,28.5,21.1,7.3,76.20833333333333,0
2026-05-28,30.6,21.5,0.5,75.45833333333333,1
2026-05-29,31.4,21.2,1.1,74.70833333333333,1
2026-05-30,31.3,20.7,0.7,76.125,1
2026-05-31,30.5,20.9,3.7,73.70833333333333,0
2026-06-01,29.4,20.8,0.5,68.91666666666667,1
2026-06-02,30.9,22.1,3.6,67.25,0
2026-06-03,28.1,21.4,10.2,84.0,0
2026-06-04,28.9,20.3,1.2,75.20833333333333,1
2026-06-05,27.2,20.9,2.7,78.41666666666667,0
2026-06-06,28.8,20.5,0.4,76.33333333333333,1
2026-06-07,28.9,20.9,3.7,78.75,0
2026-06-08,28.7,21.1,3.7,77.33333333333333,0
2026-06-09,27.2,21.3,1.1,76.75,1
2026-06-10,30.0,20.7,2.6,74.20833333333333,0
2026-06-11,29.1,20.5,0.6,76.79166666666667,1
2026-06-12,27.7,20.5,4.1,81.875,0
2026-06-13,29.1,19.7,15.0,83.08333333333333,0
2026-06-14,28.1,21.1,4.9,79.5,0
2026-06-15,29.8,20.3,0.0,67.33333333333333,1
2026-06-16,30.3,20.8,0.4,67.25,1
2026-06-17,30.4,21.7,1.7,68.75,1
2026-06-18,27.7,21.6,6.0,78.70833333333333,0
2026-06-19,28.4,21.3,3.4,75.875,0
2026-06-20,27.9,21.1,2.5,78.91666666666667,0
2026-06-21,28.6,20.5,1.9,80.58333333333333,1
2026-06-22,28.4,20.4,6.4,87.625,0
2026-06-23,28.5,20.2,1.6,76.75,1
2026-06-24,28.5,20.3,1.9,75.58333333333333,1
2026-06-25,26.5,20.2,9.3,83.0,0
2026-06-26,26.6,20.5,13.5,85.75,0
2026-06-27,25.7,20.1,3.0,84.04166666666667,0
